tag,movieId,score,tag_lowercase_dups,tag_punc_dups
카운트다운,144340,1.0,,
魔鬼司令,6664,1.0,,
难看,111781,1.0,,
臥底,148940,1.0,,
科幻 冒险,260,1.0,,
独闯龙潭,6664,1.0,,
淘金记 莫声版,3629,1.0,,
沈思,79132,1.0,,
斯巴达克斯：竞技场之神,143863,1.0,,
斯巴达克斯：前传,143863,1.0,,
斯巴达克斯:竞技场之神,143863,1.0,,
挺无聊的,72998,1.0,,
扭曲,318,2.0,,
惊悚,93757,2.0,,
徐克,141133,1.0,,
小丑,58559,1.0,,
奋斗,318,2.0,,
奇趣马戏团：吸血鬼的助手,72165,1.0,,
奇趣马戏团,72165,1.0,,
坚强,318,2.0,,
吸血鬼的助手,72165,1.0,,
励志,318,2.0,,
剧情,593,1.0,,
हिन्दी,34435,1.0,,
סרטים 2017,168712,1.0,,
מלך הסלים,178383,1.0,,
ישמח חתני,166862,1.0,,ישמח חתני\;
אמיל בן שמעון,166862,1.0,,
ызусшфд фпутеы,137473,1.0,,
сlaymation,188085,1.0,,
политрук,5479,1.0,,
лёд,185285,1.0,,
Харизма,3993,1.0,,
Фёдор Дунаевский,118166,1.0,,
Про шпионов,138036,1.0,,
Лазерные мечи,260,1.0,,
Далекие планеты,260,1.0,,
Готин,260,1.0,,
Британский,138036,1.0,,
Анастасия Немоляева,118166,1.0,,
ψωφόκωλος,4226,-1.0,,
τους γαμάω τη μάνα στα 12,4226,-1.0,,
σκατά,4226,-1.0,,
πούστης,4226,-1.0,,
πουτάνα,4226,0.0,,
ο πρωταγωνιστής μοιάζει με κουράδα,4226,-1.0,,
μου την έσπασε η αρχή,4226,-1.0,,
γαμήσια πίτας,2706,1.0,,
Şaban,154963,1.0,,
ñoña,86548,0.0,,
île du diable,3198,1.0,,
é˜®ä¸€é¸£,1,-2.0,,
ç»å…¸,356,1.0,,
æš´åŠ›,296,-1.0,,
æµ‹è¯•,80941,-1.0,,
å¥½äºº,79242,-1.0,,
ä½Žä¿—å°è¯´,296,-1.0,,
Ø§Ø­Ø³Ø§Ø³Ø§ØªÙŠ,48,1.0,,
Özgür Yildirim,109893,0.0,,
Özer Kiziltan,74431,0.0,,
Ömer Faruk Sorak,205190,1.0,,
Óskar Jónasson,154580,1.0,,
ÐœÐ¸Ñ…Ð°Ð»ÐµÐ²,4002,-1.0,,
Î•Î¯Î½Î±Î¹ ÎµÎ¾Î±Î¹ÏÎµÏ„Î¹ÎºÎ¬ Î´Î¹ÎµÏƒÏ„ÏÎ±Î¼Î­Î½Î·,77307,1.0,,
Éva Gárdos,4737,1.0,,
Étienne Chatiliez,26645,0.0,,
Érotique,558379,4.0,,
"Émile Ajar, Roman Gary, Novel based, French Prostitutes, Immigrants, Orphan, Paris, Auschwitz Survior, Algerian in France",31140,1.0,,
Çagatay Tosun,106515,0.0,,
Çagan Irmak,297415,1.0,,
Å¡Å†uk,202293,2.0,,
Åsa-nisse,100564,1.0,,
Ã‰rase una vez en AmÃ©rica,1227,1.0,,
Ã“scar Jaenada,86880,0.0,,
Ã¼bermensch,2553,0.0,,
Ãvila,97688,0.0,,
Ãlex de la Iglesia,33893,-1.0,,
Â¡Olivier Martinez!,715,-1.0,,
Â London,32844,0.0,,
Ángel Salazar,431,2.0,,
Álex de la Iglesia,681132,5.0,,
Ágnes Hranitzky,89896,0.0,,
 religion:Elvis,6755,0.0,,
 oppl,63062,-2.0,,
 London,32844,0.0,,
 					character based on real person:The King,6755,0.0,,
 ,181028,-15.0,,
zzzzzzzzzzzzzz...,4993,0.0,ZZZZzzzzzzzzzz...;,
zzzax,142056,1.0,,
zyzek,100106,0.0,,
zydeco,27876,0.0,,
zweverig,42418,-3.0,,
zuzu's petals,953,-1.0,,
zumba,166595,1.0,,
zumaia,109971,1.0,,
zulu,75255,3.0,,
zorro,187900,2.0,Zorro;,
zoophilia,162280,3.0,,
zoom zoom,6383,-4.0,,
